date,realized_cap_usd,btc_price_usd,market_cap_usd,mvrv_ratio
2025-05-06,399080548.3808444,96288.68626769505,1912473465408.4307,4792.19915169443
2025-05-07,876181992.6061254,97277.49264928911,1932113010203.6287,2205.1503300778077
2025-05-08,2250411645.2897525,99810.2089598869,1982417494844.3179,880.9132760193618
